Device,ReviewText,SubmissionTime,Title,UserNickname
Samsung Galaxy s7,"'Just upgraded from a 3-year-old Android...such an improvement, especially the speed of the system and the camera.  The battery was being used very quickly until the ""performance mode"" was changed, from ""high performance"" to ""optimized""  - thus saving battery power - so I'd recommend doing this unless you need, i.e., everything running on your device or things like having the brightest screen at all times.  This phone can also be charged ""wirelessly"" with a wireless charger that you place the phone on - no connection needed!  Have only had the phone 1 week but am happy so far.  Only negative is the high cost of this device and lack of a 2-year contract, which used to keep the price down.",4/12/2017,Slick and great features,JC 83
Samsung Galaxy s8,Awesome phone and I love Verizon never had any issues and customer service is awesome as well . The inventory they have on phones is great the overall of Verizon is awesome !!!,4/12/2017,Awesome phone,Florence jean
Samsung Galaxy s9,Holds a charge well. Ease of apps and the clarity is great. Love the camera and my voice calls come in much clearer,4/12/2017,love it,Jeannie5
Samsung Galaxy s10,The S7 is so close to the S5 that I did have as far as the way the phone works. Made it easy to use!,4/12/2017,Great phone! Really easy to get used to!,sejanis
Samsung Galaxy s11,"I love my new Samsung S7.  I had an S6 previously...Samsung continues to innovate.  I'll upgrade to the S8 in time I'm sure.  I like the water resistance, screen responsiveness,  build quality,  and performance.",4/12/2017,Fabulous phone and great service @,Dave Reid
Samsung Galaxy s12,I enjoy all the good  features of the S7........I enjoy my Gear VR with my S7....My mom likes it my aunt and uncle like it,4/12/2017,They did my transfer from my Galaxy S4 to my upgraded Galaxy S7  NO PROBLEM,Bossow06
Samsung Galaxy s13,I'm loving the storage and the camera on the Galaxy S7. The phone is the perfect size and it has good accessories.,4/12/2017,Feedback 2017,SBrooks
Samsung Galaxy s14,"The Samsung S7 is a very solid, well built, phone.  It's all metal with solid switches.
The max microSD cap is 200 GByte, which San Disk produces.  The battery is not replaceable, so getting an ANKER 10000 mAHour external battery was a logical choice for me (this battery is cheap at Amazon).
I cannot sort my music by date, cause unknown.  I take the SAME microSD disc with the songs, and insert into the OLD Samsung S4 and sort by date works.  I relocate the disc to the S7, and the sort by date doesn't work correctly.  Phone or PlayerPro?
Still, I love the phone.  It's very fast.",4/11/2017,"Samsung S7 solid, well built, looks good.",SamsSon
Samsung Galaxy s15,Very happy with my S7. I had an S4 and I was able to transfer 90% of the information I had on my S4 with little to no trouble because of Cloud and direct transfer.,4/11/2017,Happy with phone,Apachie14
Samsung Galaxy s16,Great phone. A lot better than my old phone. Many new features. I don't know how I ever lived without it. It is a vast improvement from my last phone. I'm sure I'll have many years of enjoyment using my new phone.,4/10/2017,Greatest phone ever.,Cookie51
Samsung Galaxy s17,Every thing I ever  wanted in a phone. Easy to use. Set up great! The smartest smartphone I've ever had.,4/10/2017,Wonderful phone!,Cooldaddy1980
Samsung Galaxy s18,Perfect phone. Nothing left to say. Had a galaxy grand forever and having this phone makes my old phone look ancient.,4/10/2017,Best Chnage,Gth3Stryk3r
Samsung Galaxy s19,"Super responsive, great phone. The Galaxy s7 is everything you want in a phone. Stylish, quick and backed up by the VZN, just one word..... awesome",4/10/2017,Awesome always been a galaxy fan. And nothings changed.,SirRez
Samsung Galaxy s20,Always reliable.  Phones are excellent and have never had any issues with them lasting a long time.  Verizon reps are very knowledgeable,4/9/2017,Verizon Network,Tresh
Samsung Galaxy s21,This Samsung Galaxy S7 is a great phone.  I have had no problems with it and expect that it will fulfill all my needs.  The camera resolution is especially outstanding.  The detail is amazing - and the slow motion and fast video are a welcome addition.,4/10/2017,Wonderful phone,rmargeson
Samsung Galaxy s22,Still learning but so far I love it. Had a pretty old phone so all the new features are great.  Time will tell.,4/9/2017,Love my new,Lisa051161
Samsung Galaxy s23,My prior phone was a Galaxy S4 so a lot of the features were similar or enhanced. Very user friendly.,4/9/2017,Seamless Transition,Happy in Oregon
Samsung Galaxy s24,"I have had problems finding a phone that will work in my house and this phone is great. Ease of use, pictures, and expandable memory are great.",4/7/2017,Completely Satisfied with my purchase!,jans17
Samsung Galaxy s25,I am still trying to figure out some of the things on my phone but am really happy with it.   There are a lot of features I don't need and need to turn off updates to them.  I am not that tech savvy so if I can't figure it out I will contact someone to help.,4/7/2017,Easy transition,brlysane4evr
Samsung Galaxy s26,"The lady was very helpful!!
The phone is very nice and almost the same as my old phone, the only downside is the have to be back the the micro memory card",4/6/2017,Good,Miguel150
Samsung Galaxy s27,1st one had an issue with battery charging to 100%.  Returned it the next day and this one works great.  Love the camera!  Love that the battery seems to last longer.  Got this one on the recommendation of a friend and so glad I did!,4/6/2017,Love it!,Oliver116
Samsung Galaxy s28,Coming form a Samsung Galaxy S4 it was an easy transition to the S7.  The camera is exceptional and the other functions are easily used and similar to the S4.  The only con that I have is the curved surface and slim design make it very hard to securely hold the phone.  I definitely recommend getting a protective case for it.,4/6/2017,Easy transition from my old phone,Gmatt
Samsung Galaxy s29,I like all the features great design great Network that's all that's all I have to say about that I would recommend to a friend,4/6/2017,Great,Pemmican
Samsung Galaxy s30,Phone is great. The guy at Costco that help me exchange the iPhone I had bought a week prior was really helpful. Love this phone work well and is easier to use than the s6.,4/6/2017,"Great features, great for work.",Sircalls
Samsung Galaxy s31,"This phone has a very high quality camera for a mobile device. Naturally, it does not replace a device created solely for picture taking; however, its camera produces high resolution photographs for both everyday use and, to a rather high degree, a more expansive range of photography.",4/5/2017,Camera,fralando
Samsung Galaxy s32,I love my new Galaxy S7 so far. I had the Galaxy S5 before and I love this phone so much more! The content transfer from one phone to the other was super easy and so far everything has been working great!,4/5/2017,Great phone so far!,Newcustomer222
Samsung Galaxy s33,This phone is definitely a better phone than the S6--and I was not disappointed in that one!  The speed is impressive and the touchscreen is very fast and accurate.  I am also pleased that it comes in gold--my favorite color!,4/5/2017,Love the Galaxy S7,Tawnie22
Samsung Galaxy s34,I upgraded from an S5 and there are significantly better features on the S7.  The upgraded operating system makes it more responsive. The smaller size makes it easier to carry.,4/5/2017,Good Features and upgrades,BDOML 19
Samsung Galaxy s35,"I love my phone, it's so quick and fast! I've had nothing but samsung for the last 8 years and they have never failed me",4/5/2017,So easy to switch,Courtney M
Samsung Galaxy s36,"Despite some trouble getting it activated (mostly it was because of the troublesome Experia phone I was upgrading from), it has been great.  Features are nice, camera is beautiful and its got everything I wanted.  Very happy!!!",4/4/2017,So far I'm loving it!,JamaKay1
Samsung Galaxy s37,The Galaxy 7 has proven to be an easy upgrade from my Samsug S5.  The data transfer went well.  Tech support has been a added benefit that has help me make the transition and learn where and how to find the settings and apps I needed.  The battery gets quite hot at times of heave usage but neve to hot to hold my phone.,4/4/2017,Upgrade to a new Samsug S7,Tleno
Samsung Galaxy s38,"Upgraded from S4 to S7.  Appreciate the new found speed and memory as well as the improved photo quality.  Sound is better, just an all around better phone.",4/2/2017,Good Phone,Milton mom
Samsung Galaxy s39,"Have very good luck with version services.
It works a lot of places where some of others don't. I am enjoying my new phone.",4/3/2017,Easy,Crowder
